year,week,start.date,end.date,district,cases
2024,15,2024-04-06,2024-04-12,Matara,NA
2024,15,2024-04-06,2024-04-12,Jaffna,NA
2024,15,2024-04-06,2024-04-12,Kilinochchi,NA
2024,15,2024-04-06,2024-04-12,Mannar,NA
2024,15,2024-04-06,2024-04-12,Vavuniya,NA
2024,15,2024-04-06,2024-04-12,Mullaitivu,NA
2024,15,2024-04-06,2024-04-12,Batticaloa,NA
2024,15,2024-04-06,2024-04-12,Ampara,NA
2024,15,2024-04-06,2024-04-12,Trincomalee,NA
2024,15,2024-04-06,2024-04-12,Kurunegala,NA
2024,15,2024-04-06,2024-04-12,Puttalam,NA
2024,15,2024-04-06,2024-04-12,Anuradhapura,NA
2024,15,2024-04-06,2024-04-12,Polonnaruwa,NA
2024,15,2024-04-06,2024-04-12,Badulla,NA
2024,15,2024-04-06,2024-04-12,Monaragala,NA
2024,15,2024-04-06,2024-04-12,Ratnapura,NA
2024,15,2024-04-06,2024-04-12,Kegalle,NA
2024,16,2024-04-13,2024-04-19,Colombo,NA
2024,16,2024-04-13,2024-04-19,Gampaha,NA
2024,16,2024-04-13,2024-04-19,Kalutara,NA
2024,16,2024-04-13,2024-04-19,Kandy,NA
2024,16,2024-04-13,2024-04-19,Matale,NA
2024,16,2024-04-13,2024-04-19,NuwaraEliya,NA
2024,16,2024-04-13,2024-04-19,Galle,NA
2024,16,2024-04-13,2024-04-19,Hambantota,NA
2024,16,2024-04-13,2024-04-19,Matara,NA
2024,16,2024-04-13,2024-04-19,Jaffna,NA
2024,16,2024-04-13,2024-04-19,Kilinochchi,NA
2024,16,2024-04-13,2024-04-19,Mannar,NA
2024,16,2024-04-13,2024-04-19,Vavuniya,NA
2024,16,2024-04-13,2024-04-19,Mullaitivu,NA
2024,16,2024-04-13,2024-04-19,Batticaloa,NA
2024,16,2024-04-13,2024-04-19,Ampara,NA
2024,16,2024-04-13,2024-04-19,Trincomalee,NA
2024,16,2024-04-13,2024-04-19,Kurunegala,NA
